Name MC MP
Bitcoin 1,199,027,245,279 54.73%
Ethereum 403,022,770,324 18.4%
Tether 112,610,614,319 5.14%
BNB 83,358,352,496 3.81%
Solana 68,427,328,718 3.12%
USDC 32,545,766,618 1.49%
XRP 26,671,670,548 1.22%
Toncoin 19,510,719,671 0.89%
Dogecoin 17,608,706,140 0.8%
Cardano 14,743,701,731 0.67%
TRON 11,260,316,288 0.51%
Avalanche 11,024,852,507 0.5%
"Shiba Inu" 9,915,321,525 0.45%
Polkadot 9,114,543,411 0.42%
Chainlink 8,600,183,830 0.39%
"Bitcoin Cash" 7,360,729,056 0.34%
"NEAR Protocol" 5,851,362,284 0.27%
Litecoin 5,623,229,278 0.26%
Polygon 5,515,901,875 0.25%
"UNUS SED LEO" 5,386,454,484 0.25%
Dai 5,346,860,235 0.24%
Uniswap 5,289,218,552 0.24%
Pepe 4,544,187,412 0.21%
Kaspa 4,220,230,456 0.19%
"Internet Computer" 3,565,084,075 0.16%
"Ethereum Classic" 3,367,586,103 0.15%
"Artificial Superintelligence Alliance" 3,237,090,342 0.15%
Monero 3,105,757,875 0.14%
Aptos 3,061,007,427 0.14%
Render 2,855,661,344 0.13%
Hedera 2,677,886,103 0.12%
Stellar 2,675,357,362 0.12%
Cosmos 2,606,527,648 0.12%
OKB 2,533,016,637 0.12%
Mantle 2,476,158,313 0.11%
Arbitrum 2,472,215,031 0.11%
Filecoin 2,425,619,708 0.11%
Cronos 2,379,814,486 0.11%
Stacks 2,357,633,131 0.11%
Immutable 2,317,780,481 0.11%
Maker 2,315,565,305 0.11%
Injective 2,100,994,891 0.1%
VeChain 2,101,232,451 0.1%
dogwifhat 2,054,009,553 0.09%
"First Digital USD" 1,999,676,016 0.09%
Sui 1,998,416,713 0.09%
"The Graph" 1,951,628,418 0.09%
Optimism 1,921,336,501 0.09%
Arweave 1,752,487,148 0.08%
Bonk 1,697,052,489 0.08%
FLOKI 1,673,321,666 0.08%
Bittensor 1,652,200,461 0.08%
"Bitget Token" 1,619,804,593 0.07%
Ondo 1,584,504,031 0.07%
"Lido DAO" 1,573,576,377 0.07%
Fantom 1,550,002,203 0.07%
"Theta Network" 1,510,945,095 0.07%
"Brett (Based)" 1,490,678,951 0.07%
THORChain 1,377,878,335 0.06%
JasmyCoin 1,361,387,603 0.06%
Notcoin 1,324,541,274 0.06%
Aave 1,322,416,248 0.06%
Algorand 1,198,425,540 0.05%
"Pyth Network" 1,172,509,582 0.05%
Core 1,146,610,839 0.05%
Jupiter 1,135,298,386 0.05%
Celestia 1,108,782,038 0.05%
Sei 1,006,946,767 0.05%
Flare 991,084,943 0.05%
Quant 948,272,430 0.04%
"KuCoin Token" 931,212,389 0.04%
"Ethereum Name Service" 921,491,144 0.04%
Flow 913,783,257 0.04%
Starknet 909,768,461 0.04%
"Akash Network" 898,496,997 0.04%
Beam 872,489,756 0.04%
"Axie Infinity" 859,275,538 0.04%
EOS 856,938,022 0.04%
"Bitcoin SV" 856,468,972 0.04%
MultiversX 846,309,737 0.04%
Gala 835,909,807 0.04%
"BitTorrent [New]" 829,601,963 0.04%
Neo 792,129,605 0.04%
"dYdX (Native)" 785,749,041 0.04%
ORDI 770,340,217 0.04%
Tezos 769,403,472 0.04%
USDD 734,859,293 0.03%
"The Sandbox" 729,997,355 0.03%
Ethena 728,864,656 0.03%
GateToken 723,944,360 0.03%
Gnosis 724,880,729 0.03%
Conflux 717,806,885 0.03%
MANTRA 681,314,930 0.03%
Ronin 670,219,752 0.03%
Oasis 669,388,497 0.03%
zkSync 653,893,395 0.03%
Nexo 656,375,589 0.03%
Wormhole 649,888,542 0.03%
Chiliz 648,272,380 0.03%
"BOOK OF MEME" 642,376,423 0.03%
