Name MC MP
Bitcoin 1,183,554,346,698 55.13%
Ethereum 383,266,807,201 17.85%
Tether 112,497,410,078 5.24%
BNB 79,189,115,096 3.69%
Solana 67,388,467,641 3.14%
USDC 33,953,953,845 1.58%
XRP 29,751,552,389 1.39%
Toncoin 18,414,653,574 0.86%
Dogecoin 16,336,527,965 0.76%
Cardano 15,504,320,780 0.72%
TRON 11,976,060,249 0.56%
Avalanche 10,180,512,673 0.47%
"Shiba Inu" 10,161,671,907 0.47%
Polkadot 8,967,655,390 0.42%
Chainlink 8,048,321,908 0.37%
"Bitcoin Cash" 7,281,595,594 0.34%
"NEAR Protocol" 5,805,089,028 0.27%
"UNUS SED LEO" 5,369,490,115 0.25%
Dai 5,347,586,242 0.25%
Litecoin 5,191,143,705 0.24%
Polygon 5,170,398,378 0.24%
Uniswap 4,909,659,923 0.23%
Kaspa 4,090,750,992 0.19%
"Internet Computer" 4,007,183,541 0.19%
Pepe 3,675,096,709 0.17%
"Ethereum Classic" 3,324,916,231 0.15%
Stellar 3,082,031,841 0.14%
Aptos 3,070,032,700 0.14%
"Artificial Superintelligence Alliance" 2,994,604,259 0.14%
Monero 2,911,846,070 0.14%
Maker 2,596,973,162 0.12%
Hedera 2,531,713,636 0.12%
VeChain 2,492,200,287 0.12%
Stacks 2,490,019,587 0.12%
Cronos 2,460,589,670 0.11%
Filecoin 2,408,899,219 0.11%
Cosmos 2,403,043,933 0.11%
OKB 2,390,343,396 0.11%
Render 2,388,685,749 0.11%
Mantle 2,348,996,946 0.11%
Arbitrum 2,302,397,273 0.11%
Immutable 2,088,853,478 0.1%
Sui 2,001,349,147 0.09%
Optimism 1,969,596,475 0.09%
"First Digital USD" 1,930,569,603 0.09%
Injective 1,921,962,737 0.09%
Bittensor 1,853,684,507 0.09%
"The Graph" 1,824,105,003 0.08%
dogwifhat 1,677,001,756 0.08%
Bonk 1,610,992,000 0.08%
Arweave 1,595,195,390 0.07%
Aave 1,539,511,815 0.07%
"Lido DAO" 1,533,099,470 0.07%
Notcoin 1,527,727,833 0.07%
"Bitget Token" 1,456,764,731 0.07%
"Theta Network" 1,422,588,284 0.07%
FLOKI 1,391,526,270 0.06%
Ondo 1,365,730,834 0.06%
Fantom 1,342,473,624 0.06%
THORChain 1,258,396,976 0.06%
Algorand 1,229,453,793 0.06%
Celestia 1,221,916,900 0.06%
JasmyCoin 1,203,659,425 0.06%
"Brett (Based)" 1,152,764,839 0.05%
"Pyth Network" 1,106,016,795 0.05%
Jupiter 1,091,976,371 0.05%
Core 1,037,803,216 0.05%
Sei 981,791,866 0.05%
MultiversX 959,020,525 0.04%
Quant 890,872,849 0.04%
MANTRA 889,113,080 0.04%
"KuCoin Token" 881,367,685 0.04%
Flow 864,192,741 0.04%
Flare 849,228,062 0.04%
Starknet 840,771,629 0.04%
"Ethereum Name Service" 840,369,224 0.04%
EOS 839,973,831 0.04%
"Akash Network" 837,599,720 0.04%
"dYdX (Native)" 822,693,340 0.04%
"Axie Infinity" 820,629,720 0.04%
"Bitcoin SV" 810,191,525 0.04%
"BitTorrent [New]" 788,069,904 0.04%
Tezos 769,462,424 0.04%
Neo 755,423,943 0.04%
Beam 754,241,838 0.04%
USDD 737,691,132 0.03%
"The Sandbox" 724,187,691 0.03%
Ronin 709,691,257 0.03%
Gala 704,544,688 0.03%
ORDI 689,220,580 0.03%
Gnosis 690,202,766 0.03%
GateToken 676,864,749 0.03%
Ethena 664,627,936 0.03%
Conflux 657,527,347 0.03%
"Mog Coin" 646,034,526 0.03%
Nexo 648,430,386 0.03%
Decentraland 635,363,425 0.03%
Pendle 619,554,153 0.03%
eCash 615,550,068 0.03%
Chiliz 605,925,765 0.03%
