Name MC MP
Bitcoin 1,121,698,149,315 55.42%
Ethereum 356,813,696,333 17.63%
Tether 112,192,882,387 5.54%
BNB 73,714,483,757 3.64%
Solana 63,857,092,093 3.16%
USDC 33,747,316,636 1.67%
XRP 23,882,787,879 1.18%
Toncoin 18,335,104,980 0.91%
Dogecoin 15,440,215,370 0.76%
Cardano 12,763,134,841 0.63%
TRON 11,119,435,357 0.55%
Avalanche 10,184,359,098 0.5%
"Shiba Inu" 9,341,979,534 0.46%
Polkadot 8,713,214,260 0.43%
Chainlink 7,649,918,151 0.38%
"Bitcoin Cash" 6,296,028,640 0.31%
Dai 5,346,919,817 0.26%
"UNUS SED LEO" 5,247,545,824 0.26%
"NEAR Protocol" 5,027,073,605 0.25%
Polygon 4,795,542,192 0.24%
Litecoin 4,732,885,296 0.23%
Uniswap 4,689,889,113 0.23%
Kaspa 3,967,908,590 0.2%
Pepe 3,736,154,335 0.18%
"Internet Computer" 3,276,783,240 0.16%
"Ethereum Classic" 2,970,830,447 0.15%
"Artificial Superintelligence Alliance" 2,917,859,287 0.14%
Monero 2,863,523,449 0.14%
Aptos 2,606,148,852 0.13%
Stellar 2,556,187,446 0.13%
Render 2,531,901,179 0.13%
Hedera 2,383,244,394 0.12%
Cosmos 2,313,614,484 0.11%
OKB 2,253,861,144 0.11%
Cronos 2,236,292,436 0.11%
Arbitrum 2,172,160,231 0.11%
Filecoin 2,117,401,526 0.1%
Mantle 2,083,627,635 0.1%
Maker 2,045,429,077 0.1%
Stacks 2,032,604,031 0.1%
"First Digital USD" 1,915,972,360 0.09%
VeChain 1,898,320,564 0.09%
Immutable 1,873,839,196 0.09%
Injective 1,791,060,802 0.09%
dogwifhat 1,786,978,513 0.09%
"The Graph" 1,717,002,561 0.08%
Sui 1,679,647,083 0.08%
Optimism 1,584,249,180 0.08%
Notcoin 1,549,630,264 0.08%
Bittensor 1,540,058,530 0.08%
Bonk 1,506,639,698 0.07%
Arweave 1,480,555,565 0.07%
"Bitget Token" 1,399,637,280 0.07%
"Lido DAO" 1,373,451,198 0.07%
FLOKI 1,359,542,695 0.07%
Ondo 1,310,854,419 0.06%
"Theta Network" 1,299,973,440 0.06%
Fantom 1,190,847,866 0.06%
Aave 1,176,013,600 0.06%
JasmyCoin 1,155,817,711 0.06%
THORChain 1,150,061,756 0.06%
"Brett (Based)" 1,142,577,061 0.06%
Algorand 1,087,304,245 0.05%
"Pyth Network" 1,026,226,177 0.05%
Celestia 1,022,942,854 0.05%
Jupiter 985,469,155 0.05%
Core 934,354,207 0.05%
MultiversX 899,721,926 0.04%
Flare 879,234,051 0.04%
Quant 876,833,109 0.04%
"KuCoin Token" 844,460,659 0.04%
"Akash Network" 844,870,471 0.04%
Sei 824,626,986 0.04%
Starknet 797,413,120 0.04%
Flow 788,546,560 0.04%
"Ethereum Name Service" 763,817,738 0.04%
"Axie Infinity" 760,606,524 0.04%
"dYdX (Native)" 758,962,118 0.04%
EOS 757,703,005 0.04%
"BitTorrent [New]" 742,078,490 0.04%
MANTRA 733,754,739 0.04%
USDD 738,607,908 0.04%
Tezos 709,909,687 0.04%
"Bitcoin SV" 706,682,225 0.03%
Beam 705,059,157 0.03%
Gala 692,492,322 0.03%
Neo 677,018,084 0.03%
Ethena 673,010,488 0.03%
"The Sandbox" 671,020,536 0.03%
ORDI 631,709,963 0.03%
Gnosis 627,629,634 0.03%
GateToken 625,447,790 0.03%
Safe 591,537,900 0.03%
"Tether Gold" 589,897,652 0.03%
Chiliz 586,891,746 0.03%
Nexo 586,245,007 0.03%
Pendle 580,441,164 0.03%
Decentraland 579,717,918 0.03%
eCash 579,522,194 0.03%
Ronin 572,564,470 0.03%
